id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n
0GvFEVJf/,/soccer/england/premier-league-2013-2014/manchester-united-tottenham-0GvFEVJf/,TRUE,2014-01-01,E0,2014,england,Manchester Utd,Tottenham,1,2,1.75,4.3,6.1,NA,NA,NA,NA
4lo6Gikr/,/soccer/england/premier-league-2013-2014/fulham-west-ham-4lo6Gikr/,TRUE,2014-01-01,E0,2014,england,Fulham,West Ham,2,1,2.4,3.5,3.55,NA,NA,NA,NA
ChNxYJKF/,/soccer/england/premier-league-2013-2014/crystal-palace-norwich-ChNxYJKF/,TRUE,2014-01-01,E0,2014,england,Crystal Palace,Norwich City,1,1,2.4,3.32,3.5,NA,NA,NA,NA
IikAFB4l/,/soccer/england/premier-league-2013-2014/liverpool-hull-city-IikAFB4l/,TRUE,2014-01-01,E0,2014,england,Liverpool,Hull,2,0,1.35,6.2,13,NA,NA,NA,NA
nXxNC9l7/,/soccer/england/premier-league-2013-2014/stoke-city-everton-nXxNC9l7/,TRUE,2014-01-01,E0,2014,england,Stoke City,Everton,1,1,5.2,3.8,1.88,NA,NA,NA,NA
O80nl0of/,/soccer/england/premier-league-2013-2014/swansea-manchester-city-O80nl0of/,TRUE,2014-01-01,E0,2014,england,Swansea,Manchester City,2,3,6.1,4.2,1.71,NA,NA,NA,NA
pI1rktWm/,/soccer/england/premier-league-2013-2014/arsenal-cardiff-pI1rktWm/,TRUE,2014-01-01,E0,2014,england,Arsenal,Cardiff,2,0,1.28,7.2,17,NA,NA,NA,NA
QNyRBT3D/,/soccer/england/premier-league-2013-2014/sunderland-aston-villa-QNyRBT3D/,TRUE,2014-01-01,E0,2014,england,Sunderland,Aston Villa,0,1,2.15,3.45,4.03,NA,NA,NA,NA
SSF9zDtE/,/soccer/england/premier-league-2013-2014/west-brom-newcastle-utd-SSF9zDtE/,TRUE,2014-01-01,E0,2014,england,West Brom,Newcastle,1,0,2.45,3.55,3.35,NA,NA,NA,NA
v7wJDkZ0/,/soccer/england/premier-league-2013-2014/southampton-chelsea-v7wJDkZ0/,TRUE,2014-01-01,E0,2014,england,Southampton,Chelsea,0,3,4.15,3.6,2.1,NA,NA,NA,NA
80Yra1R3/,/soccer/spain/primera-division-2013-2014/malaga-atl-madrid-80Yra1R3/,TRUE,2014-01-04,SP1,2014,spain,Malaga,Atletico Madrid,0,1,7.4,4.6,1.57,NA,NA,NA,NA
Qyqv0sCc/,/soccer/spain/primera-division-2013-2014/valencia-levante-Qyqv0sCc/,TRUE,2014-01-04,SP1,2014,spain,Valencia,Levante,2,0,1.47,5.1,8.5,NA,NA,NA,NA
v3RQjwZq/,/soccer/spain/primera-division-2013-2014/almeria-granada-cf-v3RQjwZq/,TRUE,2014-01-04,SP1,2014,spain,Almeria,Granada,3,0,2.76,3.35,2.96,NA,NA,NA,NA
YPQUkclj/,/soccer/spain/primera-division-2013-2014/valladolid-betis-YPQUkclj/,TRUE,2014-01-04,SP1,2014,spain,Real Valladolid,Real Betis,0,0,2.75,3.44,2.89,NA,NA,NA,NA
2szaeJQS/,/soccer/spain/primera-division-2013-2014/real-sociedad-ath-bilbao-2szaeJQS/,TRUE,2014-01-05,SP1,2014,spain,Real Sociedad,Athletic Bilbao,2,0,2.27,3.6,3.7,NA,NA,NA,NA
CGPYlH3d/,/soccer/spain/primera-division-2013-2014/osasuna-espanyol-CGPYlH3d/,TRUE,2014-01-05,SP1,2014,spain,Osasuna,Espanyol,1,0,2.47,3.3,3.48,NA,NA,NA,NA
ERM3xnIs/,/soccer/italy/serie-a-2013-2014/juventus-as-roma-ERM3xnIs/,TRUE,2014-01-05,I1,2014,italy,Juventus,AS Roma,3,0,1.74,3.95,5.8,NA,NA,NA,NA
niXnbLtA/,/soccer/spain/primera-division-2013-2014/barcelona-elche-niXnbLtA/,TRUE,2014-01-05,SP1,2014,spain,Barcelona,Elche,4,0,1.09,18,46.14,NA,NA,NA,NA
QsSNCYUS/,/soccer/italy/serie-a-2013-2014/fiorentina-livorno-QsSNCYUS/,TRUE,2014-01-05,I1,2014,italy,Fiorentina,Livorno,1,0,1.35,5.7,12,NA,NA,NA,NA
rmnZM6If/,/soccer/italy/serie-a-2013-2014/chievo-cagliari-rmnZM6If/,TRUE,2014-01-05,I1,2014,italy,Chievo Verona,Cagliari,0,0,2.6,3.2,3.38,NA,NA,NA,NA
tSojcudG/,/soccer/spain/primera-division-2013-2014/sevilla-getafe-tSojcudG/,TRUE,2014-01-05,SP1,2014,spain,Sevilla,Getafe,3,0,1.59,4.45,6.7,NA,NA,NA,NA
23Jk8hwp/,/soccer/italy/serie-a-2013-2014/parma-torino-23Jk8hwp/,TRUE,2014-01-06,I1,2014,italy,Parma,Torino,3,1,2.32,3.44,3.9,NA,NA,NA,NA
bwyjlqHg/,/soccer/italy/serie-a-2013-2014/udinese-verona-bwyjlqHg/,TRUE,2014-01-06,I1,2014,italy,Udinese,Hellas Verona,1,3,1.83,3.9,5.82,NA,NA,NA,NA
fstXs8fK/,/soccer/italy/serie-a-2013-2014/genoa-sassuolo-fstXs8fK/,TRUE,2014-01-06,I1,2014,italy,Genoa,Sassuolo,2,0,2.36,3.4,3.6,NA,NA,NA,NA
KIpfdaBM/,/soccer/spain/primera-division-2013-2014/rayo-vallecano-villarreal-KIpfdaBM/,TRUE,2014-01-06,SP1,2014,spain,Rayo Vallecano,Villarreal,2,5,3.8,3.55,2.29,NA,NA,NA,NA
lY8HD0tc/,/soccer/spain/primera-division-2013-2014/real-madrid-celta-vigo-lY8HD0tc/,TRUE,2014-01-06,SP1,2014,spain,Real Madrid,Celta Vigo,3,0,1.09,17,42.82,NA,NA,NA,NA
MiQBzQnf/,/soccer/italy/serie-a-2013-2014/lazio-inter-MiQBzQnf/,TRUE,2014-01-06,I1,2014,italy,Lazio,Internazionale,1,0,2.68,3.4,3.05,NA,NA,NA,NA
r7EKY3H6/,/soccer/italy/serie-a-2013-2014/ac-milan-atalanta-r7EKY3H6/,TRUE,2014-01-06,I1,2014,italy,AC Milan,Atalanta,3,0,1.51,4.6,9.2,NA,NA,NA,NA
UNCSWsnJ/,/soccer/italy/serie-a-2013-2014/napoli-sampdoria-UNCSWsnJ/,TRUE,2014-01-06,I1,2014,italy,Napoli,Sampdoria,2,0,1.42,5.3,9.6,NA,NA,NA,NA
zNrROSmr/,/soccer/italy/serie-a-2013-2014/catania-bologna-zNrROSmr/,TRUE,2014-01-06,I1,2014,italy,Catania,Bologna,2,0,2.15,3.4,4.65,NA,NA,NA,NA
69Hxtjyn/,/soccer/france/ligue-1-2013-2014/st-etienne-evian-tg-69Hxtjyn/,TRUE,2014-01-08,F1,2014,france,St Etienne,Evian Thonon Gaillard,1,0,1.57,4.4,7.7,NA,NA,NA,NA
GrsYIPYd/,/soccer/france/ligue-1-2013-2014/montpellier-monaco-GrsYIPYd/,TRUE,2014-01-10,F1,2014,france,Montpellier,AS Monaco,1,1,5,3.55,1.92,NA,NA,NA,NA
QJk83GIk/,/soccer/spain/primera-division-2013-2014/granada-cf-valladolid-QJk83GIk/,TRUE,2014-01-10,SP1,2014,spain,Granada,Real Valladolid,4,0,2.05,3.45,4.5,NA,NA,NA,NA
0WrpGNIF/,/soccer/france/ligue-1-2013-2014/valenciennes-bastia-0WrpGNIF/,TRUE,2014-01-11,F1,2014,france,Valenciennes,Bastia,3,2,2.2,3.53,3.95,NA,NA,NA,NA
