id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
dvziVSSn/,dvziVSSn3,3,2,Attempt blocked. Alexis Sanchez (Arsenal) left footed shot from a difficult angle on the left is blocked. Assisted by Alex Iwobi.,1,12,1,Arsenal,Crystal Palace,alexis sanchez,alex iwobi,NA,NA,2,3,0,7,2,1,1,0
dvziVSSn/,dvziVSSn4,4,2,"Corner,  Arsenal. Conceded by James Tomkins.",2,NA,1,Arsenal,Crystal Palace,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
dvziVSSn/,dvziVSSn5,5,6,Attempt blocked. Mohamed Elneny (Arsenal) right footed shot from the centre of the box is blocked. Assisted by Alex Iwobi.,1,12,1,Arsenal,Crystal Palace,mohamed elneny,alex iwobi,NA,NA,2,3,0,3,1,1,1,0
dvziVSSn/,dvziVSSn6,6,6,"Corner,  Arsenal. Conceded by James Tomkins.",2,NA,1,Arsenal,Crystal Palace,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
dvziVSSn/,dvziVSSn7,7,7,Foul by Granit Xhaka (Arsenal).,3,NA,1,Arsenal,Crystal Palace,granit xhaka,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
dvziVSSn/,dvziVSSn8,8,7,Wilfried Zaha (Crystal Palace) wins a free kick on the left wing.,8,NA,2,Crystal Palace,Arsenal,wilfried zaha,NA,NA,NA,NA,NA,0,4,NA,0,NA,0
dvziVSSn/,dvziVSSn9,9,8,Foul by Andros Townsend (Crystal Palace).,3,NA,2,Crystal Palace,Arsenal,andros townsend,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
dvziVSSn/,dvziVSSn10,10,8,Nacho Monreal (Arsenal) wins a free kick in the defensive half.,8,NA,1,Arsenal,Crystal Palace,nacho monreal,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
dvziVSSn/,dvziVSSn11,11,10,"Corner,  Arsenal. Conceded by Andros Townsend.",2,NA,1,Arsenal,Crystal Palace,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
dvziVSSn/,dvziVSSn12,12,12,"Attempt missed. Alexis Sanchez (Arsenal) right footed shot from outside the box is close, but misses to the right. Assisted by Granit Xhaka.",1,12,1,Arsenal,Crystal Palace,alexis sanchez,granit xhaka,NA,NA,9,2,0,15,1,1,1,0
dvziVSSn/,dvziVSSn13,13,14,Foul by Lucas Perez (Arsenal).,3,NA,1,Arsenal,Crystal Palace,lucas perez,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
dvziVSSn/,dvziVSSn14,14,14,Joel Ward (Crystal Palace) wins a free kick in the defensive half.,8,NA,2,Crystal Palace,Arsenal,joel ward,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
dvziVSSn/,dvziVSSn15,15,16,Attempt saved. Alex Iwobi (Arsenal) right footed shot from the right side of the box is saved in the bottom left corner. Assisted by Lucas Perez.,1,12,1,Arsenal,Crystal Palace,alex iwobi,lucas perez,NA,NA,3,1,0,11,1,1,1,0
dvziVSSn/,dvziVSSn16,16,16,"Offside, Arsenal. Laurent Koscielny tries a through ball, but Olivier Giroud is caught offside.",9,13,1,Arsenal,Crystal Palace,olivier giroud,laurent koscielny,NA,NA,NA,NA,0,NA,NA,0,NA,0
dvziVSSn/,dvziVSSn17,17,17,"Goal!  Arsenal 1, Crystal Palace 0. Olivier Giroud (Arsenal) left footed shot from the centre of the box to the top left corner. Assisted by Alexis Sanchez with a cross following a fast break.",1,12,1,Arsenal,Crystal Palace,olivier giroud,alexis sanchez,NA,NA,12,1,1,3,2,2,1,1
dvziVSSn/,dvziVSSn18,18,19,Alex Iwobi (Arsenal) wins a free kick on the right wing.,8,NA,1,Arsenal,Crystal Palace,alex iwobi,NA,NA,NA,NA,NA,0,5,NA,0,NA,0
dvziVSSn/,dvziVSSn19,19,19,Foul by Yohan Cabaye (Crystal Palace).,3,NA,2,Crystal Palace,Arsenal,yohan cabaye,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
dvziVSSn/,dvziVSSn20,20,23,"Corner,  Crystal Palace. Conceded by Olivier Giroud.",2,NA,2,Crystal Palace,Arsenal,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
dvziVSSn/,dvziVSSn21,21,26,"Offside, Crystal Palace. Martin Kelly tries a through ball, but Christian Benteke is caught offside.",9,13,2,Crystal Palace,Arsenal,christian benteke,martin kelly,NA,NA,NA,NA,0,NA,NA,0,NA,0
