id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n
UXhWVRRP/,/soccer/england/premier-league-2011-2012/sunderland-manchester-city-UXhWVRRP/,FALSE,2012-01-01,E0,2012,england,Sunderland,Manchester City,1,0,6.2,3.96,1.71,NA,NA,NA,NA
zFVbRozs/,/soccer/england/premier-league-2011-2012/west-brom-everton-zFVbRozs/,FALSE,2012-01-01,E0,2012,england,West Brom,Everton,0,1,3,3.42,2.66,NA,NA,NA,NA
OtHpIxY6/,/soccer/england/premier-league-2011-2012/fulham-arsenal-OtHpIxY6/,FALSE,2012-01-02,E0,2012,england,Fulham,Arsenal,2,1,4.59,3.59,1.98,NA,NA,NA,NA
pzCJYcIm/,/soccer/england/premier-league-2011-2012/wolves-chelsea-pzCJYcIm/,FALSE,2012-01-02,E0,2012,england,Wolves,Chelsea,1,2,6.8,4.09,1.64,NA,NA,NA,NA
SENyKb3f/,/soccer/england/premier-league-2011-2012/aston-villa-swansea-SENyKb3f/,FALSE,2012-01-02,E0,2012,england,Aston Villa,Swansea,0,2,2.02,3.45,4.75,NA,NA,NA,NA
YeWru0uK/,/soccer/england/premier-league-2011-2012/qpr-norwich-YeWru0uK/,FALSE,2012-01-02,E0,2012,england,QPR,Norwich City,1,2,2.1,3.5,4.09,NA,NA,NA,NA
YiOXKvll/,/soccer/england/premier-league-2011-2012/blackburn-stoke-city-YiOXKvll/,FALSE,2012-01-02,E0,2012,england,Blackburn,Stoke City,1,2,3,3.43,2.8,NA,NA,NA,NA
2XFlHdmD/,/soccer/england/premier-league-2011-2012/manchester-city-liverpool-2XFlHdmD/,FALSE,2012-01-03,E0,2012,england,Manchester City,Liverpool,3,0,1.93,3.65,4.8,NA,NA,NA,NA
GKLmvKfQ/,/soccer/england/premier-league-2011-2012/tottenham-west-brom-GKLmvKfQ/,FALSE,2012-01-03,E0,2012,england,Tottenham,West Brom,1,0,1.31,5.9,13.5,NA,NA,NA,NA
jDCFZw3s/,/soccer/england/premier-league-2011-2012/wigan-sunderland-jDCFZw3s/,FALSE,2012-01-03,E0,2012,england,Wigan,Sunderland,1,4,2.66,3.4,3.01,NA,NA,NA,NA
f5XvttQD/,/soccer/england/premier-league-2011-2012/newcastle-utd-manchester-united-f5XvttQD/,FALSE,2012-01-04,E0,2012,england,Newcastle,Manchester Utd,3,0,5.5,4,1.77,NA,NA,NA,NA
tIRuJII0/,/soccer/england/premier-league-2011-2012/everton-bolton-tIRuJII0/,FALSE,2012-01-04,E0,2012,england,Everton,Bolton,1,2,1.58,4.38,7.53,NA,NA,NA,NA
0Kiy9x9k/,/soccer/spain/primera-division-2011-2012/santander-zaragoza-0Kiy9x9k/,TRUE,2012-01-07,SP1,2012,spain,Racing Santander,Real Zaragoza,1,0,2.12,3.4,4.09,NA,NA,NA,NA
Cv1dMDUe/,/soccer/italy/serie-a-2011-2012/inter-parma-Cv1dMDUe/,TRUE,2012-01-07,I1,2012,italy,Internazionale,Parma,5,0,1.54,4.3,8.26,NA,NA,NA,NA
dnop7Gw2/,/soccer/spain/primera-division-2011-2012/levante-mallorca-dnop7Gw2/,TRUE,2012-01-07,SP1,2012,spain,Levante,Mallorca,0,0,2.29,3.35,3.7,NA,NA,NA,NA
E7czWaG2/,/soccer/spain/primera-division-2011-2012/real-madrid-granada-cf-E7czWaG2/,FALSE,2012-01-07,SP1,2012,spain,Real Madrid,Granada,5,1,1.08,17,34,NA,NA,NA,NA
r943sF6L/,/soccer/italy/serie-a-2011-2012/siena-lazio-r943sF6L/,TRUE,2012-01-07,I1,2012,italy,Siena,Lazio,4,0,3.1,3.06,2.8,NA,NA,NA,NA
rmkiSHFR/,/soccer/spain/primera-division-2011-2012/malaga-atl-madrid-rmkiSHFR/,TRUE,2012-01-07,SP1,2012,spain,Malaga,Atletico Madrid,0,0,2.24,3.6,3.55,NA,NA,NA,NA
UqNILewk/,/soccer/spain/primera-division-2011-2012/real-sociedad-osasuna-UqNILewk/,TRUE,2012-01-07,SP1,2012,spain,Real Sociedad,Osasuna,0,0,2.15,3.45,4,NA,NA,NA,NA
4EclOZaq/,/soccer/italy/serie-a-2011-2012/bologna-catania-4EclOZaq/,TRUE,2012-01-08,I1,2012,italy,Bologna,Catania,2,0,2.88,3.1,2.98,NA,NA,NA,NA
4I5areiF/,/soccer/italy/serie-a-2011-2012/as-roma-chievo-4I5areiF/,TRUE,2012-01-08,I1,2012,italy,AS Roma,Chievo Verona,2,0,1.6,4,7.6,NA,NA,NA,NA
Ae6eqyx9/,/soccer/italy/serie-a-2011-2012/palermo-napoli-Ae6eqyx9/,TRUE,2012-01-08,I1,2012,italy,Palermo,Napoli,1,3,3.75,3.36,2.27,NA,NA,NA,NA
AZjqUwoF/,/soccer/spain/primera-division-2011-2012/espanyol-barcelona-AZjqUwoF/,TRUE,2012-01-08,SP1,2012,spain,Espanyol,Barcelona,1,1,16.18,8.19,1.22,NA,NA,NA,NA
bXKLSFiS/,/soccer/italy/serie-a-2011-2012/atalanta-ac-milan-bXKLSFiS/,TRUE,2012-01-08,I1,2012,italy,Atalanta,AC Milan,0,2,5.4,3.57,1.85,NA,NA,NA,NA
dh2ipHM2/,/soccer/italy/serie-a-2011-2012/novara-fiorentina-dh2ipHM2/,TRUE,2012-01-08,I1,2012,italy,Novara,Fiorentina,0,3,3.15,3.2,2.64,NA,NA,NA,NA
hbdvVJV8/,/soccer/spain/primera-division-2011-2012/rayo-vallecano-sevilla-hbdvVJV8/,TRUE,2012-01-08,SP1,2012,spain,Rayo Vallecano,Sevilla,2,1,2.62,3.45,3,NA,NA,NA,NA
jVa0LXq2/,/soccer/italy/serie-a-2011-2012/lecce-juventus-jVa0LXq2/,TRUE,2012-01-08,I1,2012,italy,Lecce,Juventus,0,1,8.4,4.44,1.51,NA,NA,NA,NA
lQkmTc0L/,/soccer/spain/primera-division-2011-2012/betis-gijon-lQkmTc0L/,TRUE,2012-01-08,SP1,2012,spain,Real Betis,Sporting Gijon,2,0,1.81,3.8,5.4,NA,NA,NA,NA
nLXDMyOr/,/soccer/spain/primera-division-2011-2012/villarreal-valencia-nLXDMyOr/,TRUE,2012-01-08,SP1,2012,spain,Villarreal,Valencia,2,2,3.54,3.5,2.42,NA,NA,NA,NA
OKL0tZLR/,/soccer/italy/serie-a-2011-2012/udinese-cesena-OKL0tZLR/,TRUE,2012-01-08,I1,2012,italy,Udinese,Cesena,4,1,1.56,4.09,8.6,NA,NA,NA,NA
r5dhNgFk/,/soccer/italy/serie-a-2011-2012/cagliari-genoa-r5dhNgFk/,TRUE,2012-01-08,I1,2012,italy,Cagliari,Genoa,3,0,2.22,3.25,4.09,NA,NA,NA,NA
rqst8dOe/,/soccer/spain/primera-division-2011-2012/getafe-ath-bilbao-rqst8dOe/,TRUE,2012-01-08,SP1,2012,spain,Getafe,Athletic Bilbao,0,0,2.84,3.45,2.78,NA,NA,NA,NA
fLRHPnzU/,/soccer/england/premier-league-2011-2012/tottenham-everton-fLRHPnzU/,FALSE,2012-01-11,E0,2012,england,Tottenham,Everton,2,0,1.64,4.2,6.92,NA,NA,NA,NA
2o389iFI/,/soccer/france/ligue-1-2011-2012/caen-rennes-2o389iFI/,TRUE,2012-01-14,F1,2012,france,Caen,Stade Rennes,0,2,3.65,3.2,2.4,NA,NA,NA,NA
2uxRRYUn/,/soccer/france/ligue-1-2011-2012/nancy-lorient-2uxRRYUn/,TRUE,2012-01-14,F1,2012,france,AS Nancy Lorraine,Lorient,2,2,2.62,3.2,3.3,NA,NA,NA,NA
6c4RMNlC/,/soccer/england/premier-league-2011-2012/manchester-united-bolton-6c4RMNlC/,FALSE,2012-01-14,E0,2012,england,Manchester Utd,Bolton,3,0,1.18,9.19,21.3,NA,NA,NA,NA
8zMMKFhe/,/soccer/spain/primera-division-2011-2012/zaragoza-getafe-8zMMKFhe/,TRUE,2012-01-14,SP1,2012,spain,Real Zaragoza,Getafe,1,1,3.2,3.42,2.52,NA,NA,NA,NA
AVAIOqKa/,/soccer/england/premier-league-2011-2012/chelsea-sunderland-AVAIOqKa/,FALSE,2012-01-14,E0,2012,england,Chelsea,Sunderland,1,0,1.45,4.95,9.4,NA,NA,NA,NA
CdAeCgVa/,/soccer/france/ligue-1-2011-2012/ac-ajaccio-auxerre-CdAeCgVa/,TRUE,2012-01-14,F1,2012,france,AC Ajaccio,AJ Auxerre,2,1,2.91,3.35,2.76,NA,NA,NA,NA
EN7ZK1JO/,/soccer/england/premier-league-2011-2012/tottenham-wolves-EN7ZK1JO/,FALSE,2012-01-14,E0,2012,england,Tottenham,Wolves,1,1,1.29,6.4,13.86,NA,NA,NA,NA
G0PUIgN7/,/soccer/spain/primera-division-2011-2012/mallorca-real-madrid-G0PUIgN7/,TRUE,2012-01-14,SP1,2012,spain,Mallorca,Real Madrid,1,2,10.38,5.7,1.37,NA,NA,NA,NA
Gl7C8BUO/,/soccer/france/ligue-1-2011-2012/dijon-evian-tg-Gl7C8BUO/,TRUE,2012-01-14,F1,2012,france,Dijon FCO,Evian Thonon Gaillard,3,1,2.76,3.26,3.1,NA,NA,NA,NA
Grn6MSTa/,/soccer/spain/primera-division-2011-2012/valencia-real-sociedad-Grn6MSTa/,TRUE,2012-01-14,SP1,2012,spain,Valencia,Real Sociedad,0,1,1.55,4.4,7.6,NA,NA,NA,NA
KMD3AXaC/,/soccer/france/ligue-1-2011-2012/brest-nice-KMD3AXaC/,TRUE,2012-01-14,F1,2012,france,Brest,Nice,1,0,2.29,3.1,4,NA,NA,NA,NA
KpAQqodP/,/soccer/england/premier-league-2011-2012/west-brom-norwich-KpAQqodP/,FALSE,2012-01-14,E0,2012,england,West Brom,Norwich City,1,2,2,3.6,4.4,NA,NA,NA,NA
MNRLsw08/,/soccer/spain/primera-division-2011-2012/granada-cf-rayo-vallecano-MNRLsw08/,TRUE,2012-01-14,SP1,2012,spain,Granada,Rayo Vallecano,1,2,2.48,3.4,3.2,NA,NA,NA,NA
S65NN3Z5/,/soccer/england/premier-league-2011-2012/liverpool-stoke-city-S65NN3Z5/,FALSE,2012-01-14,E0,2012,england,Liverpool,Stoke City,0,0,1.53,4.25,8.63,NA,NA,NA,NA
SMm6PP4g/,/soccer/england/premier-league-2011-2012/blackburn-fulham-SMm6PP4g/,FALSE,2012-01-14,E0,2012,england,Blackburn,Fulham,3,1,3.13,3.52,2.54,NA,NA,NA,NA
tWEaBDp6/,/soccer/france/ligue-1-2011-2012/bordeaux-valenciennes-tWEaBDp6/,TRUE,2012-01-14,F1,2012,france,Bordeaux,Valenciennes,2,1,2.06,3.3,4.75,NA,NA,NA,NA
tWzVQhpg/,/soccer/france/ligue-1-2011-2012/paris-sg-toulouse-tWzVQhpg/,TRUE,2012-01-14,F1,2012,france,Paris Saint-Germain,Toulouse,3,1,1.63,4,7.4,NA,NA,NA,NA
Yal2Q5km/,/soccer/england/premier-league-2011-2012/aston-villa-everton-Yal2Q5km/,FALSE,2012-01-14,E0,2012,england,Aston Villa,Everton,1,1,2.31,3.35,3.6,NA,NA,NA,NA
zgzZPCaa/,/soccer/france/ligue-1-2011-2012/st-etienne-sochaux-zgzZPCaa/,TRUE,2012-01-14,F1,2012,france,St Etienne,Sochaux,1,0,1.7,3.8,6.8,NA,NA,NA,NA
zJ5USEFt/,/soccer/france/ligue-1-2011-2012/montpellier-lyon-zJ5USEFt/,TRUE,2012-01-14,F1,2012,france,Montpellier,Lyon,1,0,2.4,3.1,3.8,NA,NA,NA,NA
zRVPtcFE/,/soccer/spain/primera-division-2011-2012/sevilla-espanyol-zRVPtcFE/,TRUE,2012-01-14,SP1,2012,spain,Sevilla,Espanyol,0,0,1.79,4,5.4,NA,NA,NA,NA
0K3VLs4I/,/soccer/england/premier-league-2011-2012/newcastle-utd-qpr-0K3VLs4I/,FALSE,2012-01-15,E0,2012,england,Newcastle,QPR,1,0,1.7,3.91,6.48,NA,NA,NA,NA
2eANxQKg/,/soccer/italy/serie-a-2011-2012/parma-siena-2eANxQKg/,TRUE,2012-01-15,I1,2012,italy,Parma,Siena,3,1,2.29,3.15,4,NA,NA,NA,NA
6DhcOlam/,/soccer/spain/primera-division-2011-2012/gijon-malaga-6DhcOlam/,TRUE,2012-01-15,SP1,2012,spain,Sporting Gijon,Malaga,2,1,3.15,3.7,2.48,NA,NA,NA,NA
A5oALnq6/,/soccer/spain/primera-division-2011-2012/osasuna-santander-A5oALnq6/,TRUE,2012-01-15,SP1,2012,spain,Osasuna,Racing Santander,0,2,2.16,3.25,4.2,NA,NA,NA,NA
AmhGvnjs/,/soccer/italy/serie-a-2011-2012/ac-milan-inter-AmhGvnjs/,FALSE,2012-01-15,I1,2012,italy,AC Milan,Internazionale,0,1,2.14,3.3,4.3,NA,NA,NA,NA
bRNiYAT7/,/soccer/italy/serie-a-2011-2012/genoa-udinese-bRNiYAT7/,TRUE,2012-01-15,I1,2012,italy,Genoa,Udinese,3,2,3.26,3.45,2.5,NA,NA,NA,NA
jaurcf68/,/soccer/italy/serie-a-2011-2012/juventus-cagliari-jaurcf68/,TRUE,2012-01-15,I1,2012,italy,Juventus,Cagliari,1,1,1.36,5.2,12,NA,NA,NA,NA
KzPmZjE1/,/soccer/italy/serie-a-2011-2012/fiorentina-lecce-KzPmZjE1/,TRUE,2012-01-15,I1,2012,italy,Fiorentina,Lecce,0,1,1.59,4.11,7.75,NA,NA,NA,NA
O8VvyDqk/,/soccer/italy/serie-a-2011-2012/cesena-novara-O8VvyDqk/,TRUE,2012-01-15,I1,2012,italy,Cesena,Novara,3,1,2.14,3.25,4.3,NA,NA,NA,NA
